"danceability","energy","key","mode","speechiness","instrumentalness","liveness","valence","tempo","duration_s","artist"
0.624,0.736,"D","major",0.0318,-3.89222037813197,0.121,0.325,112.009,240.827,"The Front Bottoms"
0.403,0.79,"E","major",0.031,-13.8155105579643,0.223,0.43,162.015,192.28,"The Front Bottoms"
0.578,0.825,"D#","major",0.0373,-8.27033311348471,0.189,0.631,135.064,176.267,"The Front Bottoms"
0.564,0.839,"E","major",0.0433,-9.63346041532307,0.11,0.749,146.068,225.44,"The Front Bottoms"
0.532,0.833,"A","major",0.0407,-13.8155105579643,0.115,0.546,110.151,183.987,"The Front Bottoms"
0.587,0.828,"F","minor",0.0285,-3.12812146159974,0.0857,0.709,123.039,199.773,"The Front Bottoms"
0.621,0.835,"A","major",0.0335,-13.6331890011703,0.115,0.339,111.039,217.773,"The Front Bottoms"
0.346,0.897,"C#","major",0.0678,-9.40392512104885,0.358,0.661,101.744,183.253,"The Front Bottoms"
0.526,0.737,"G","major",0.0402,-5.20847666254825,0.0288,0.601,166.002,192.813,"The Front Bottoms"
0.653,0.809,"C","major",0.0307,-12.8833464769338,0.239,0.635,121.982,210.053,"The Front Bottoms"
0.241,0.726,"D","major",0.034,-7.73329164758783,0.191,0.269,132.193,243.013,"The Front Bottoms"
0.27,0.797,"E","major",0.0376,-12.2324166208698,0.126,0.459,129.965,206.027,"The Front Bottoms"
0.428,0.72,"E","major",0.0286,-11.0061078626018,0.151,0.701,180.332,215.547,"The Front Bottoms"
0.256,0.925,"D","major",0.0694,-11.8483982012584,0.336,0.574,203.087,260.24,"The Front Bottoms"
0.553,0.858,"E","major",0.0279,-9.03638706485274,0.113,0.748,134.031,225.64,"The Front Bottoms"
0.545,0.891,"E","major",0.0302,-13.8155105579643,0.186,0.533,100.789,227.627,"The Front Bottoms"
0.379,0.715,"F","major",0.0376,-13.8155105579643,0.135,0.14,139.428,259.253,"The Front Bottoms"
0.413,0.87,"A","major",0.0349,-13.4302481571736,0.113,0.8,100.816,218.133,"The Front Bottoms"
0.393,0.878,"A#","major",0.04,-9.15207146385221,0.375,0.5,152.283,194.32,"The Front Bottoms"
0.401,0.918,"C#","major",0.044,-11.2428983277572,0.129,0.789,144.349,251.24,"The Front Bottoms"
0.226,0.888,"E","major",0.123,-10.0543104422707,0.0719,0.315,80.352,253.72,"The Front Bottoms"
0.536,0.939,"D","major",0.0853,-2.64930970607961,0.185,0.489,142.937,248.04,"The Front Bottoms"
0.437,0.716,"F#","major",0.0322,-13.8155105579643,0.0418,0.492,140.497,108.487,"The Front Bottoms"
0.42,0.931,"A","major",0.0679,-13.8155105579643,0.0991,0.697,147.489,215.107,"The Front Bottoms"
0.409,0.931,"F#","major",0.0445,-11.094215130112,0.0823,0.681,143.05,211.983,"The Front Bottoms"
0.328,0.867,"C#","major",0.0812,-12.3499430159499,0.103,0.336,145.25,264.677,"The Front Bottoms"
0.48,0.826,"E","major",0.058,-13.8155105579643,0.107,0.462,139.876,185.853,"The Front Bottoms"
0.392,0.936,"B","major",0.0581,-13.33308440872,0.172,0.717,154.886,247.563,"The Front Bottoms"
0.259,0.971,"G#","major",0.0989,-13.8155105579643,0.393,0.708,121.561,194.821,"The Front Bottoms"
0.451,0.918,"A","major",0.0579,-13.4719208535742,0.133,0.779,141.173,213.802,"The Front Bottoms"
0.37,0.922,"A","major",0.0774,-11.289781913656,0.305,0.527,138.91,231.23,"The Front Bottoms"
0.395,0.92,"C#","major",0.0622,-10.2573094274925,0.307,0.81,148.513,230.051,"The Front Bottoms"
0.418,0.902,"G#","major",0.0768,-13.8155105579643,0.141,0.792,151.578,225.33,"The Front Bottoms"
0.298,0.89,"D#","major",0.0515,-11.9717913498055,0.309,0.706,149.12,223.859,"The Front Bottoms"
0.429,0.865,"F#","major",0.0625,-13.8155105579643,0.105,0.681,151.043,297.347,"The Front Bottoms"
0.641,0.833,"A","major",0.0326,-13.8155105579643,0.159,0.559,138.144,214.627,"The Front Bottoms"
0.449,0.948,"E","major",0.0867,-12.6776775561429,0.081,0.785,177.983,122.187,"The Front Bottoms"
0.688,0.744,"E","major",0.0412,-5.89979735858216,0.0711,0.518,139.901,214.8,"The Front Bottoms"
0.555,0.814,"A","major",0.0311,-13.2907820290293,0.197,0.78,144.175,205.32,"The Front Bottoms"
0.52,0.769,"C#","major",0.0552,-13.8155105579643,0.185,0.623,139.383,212.253,"The Front Bottoms"
0.585,0.782,"D","minor",0.0461,-13.8155105579643,0.108,0.591,133.011,229.933,"The Front Bottoms"
0.569,0.844,"C#","major",0.121,-13.8155105579643,0.349,0.59,134.804,216.947,"The Front Bottoms"
0.704,0.82,"F#","major",0.0356,-13.8155105579643,0.0831,0.746,135.022,258.8,"The Front Bottoms"
0.679,0.725,"D","major",0.0817,-13.8155105579643,0.705,0.455,132.973,191.867,"The Front Bottoms"
0.596,0.774,"C#","minor",0.032,-10.251627594025,0.177,0.331,133.979,258.093,"The Front Bottoms"
0.681,0.802,"C#","minor",0.0417,-6.94753614899398,0.0266,0.5,142.041,280.773,"The Front Bottoms"
0.468,0.648,"E","major",0.0262,-4.24052707240018,0.307,0.34,81.021,178.118,"The Front Bottoms"
