"room_type","price","minimum_nights","number_of_reviews","reviews_per_month","calculated_host_listings_count","availability_365"
"Entire home/apt",100,30,92,0.64,2,319
"Other",66,1,67,0.47,7,0
"Other",45,2,68,0.51,2,82
"Entire home/apt",110,30,60,0.42,1,292
"Other",68,7,57,0.41,3,57
"Entire home/apt",83,2,784,5.58,2,55
"Entire home/apt",219,30,24,0.18,2,157
"Entire home/apt",285,1,6,0.04,1,241
"Entire home/apt",159,2,47,0.36,1,365
"Entire home/apt",138,2,370,2.75,3,78
"Entire home/apt",154,1,701,6.6,1,285
"Entire home/apt",171,30,134,1,1,177
"Entire home/apt",160,30,130,2.04,1,153
"Other",58,2,249,2.02,2,362
"Other",63,1,1109,8.5,2,0
"Other",249,2,14,0.13,7,317
"Entire home/apt",95,1,100,0.81,1,0
"Entire home/apt",80,30,315,2.46,1,230
"Entire home/apt",253,2,536,4.21,1,289
"Entire home/apt",198,2,125,1.01,1,364
"Entire home/apt",95,3,930,7.87,3,286
"Entire home/apt",151,2,37,0.3,1,121
"Other",77,2,631,5.05,1,169
"Entire home/apt",257,30,161,1.32,2,345
"Entire home/apt",151,2,163,1.31,1,365
"Entire home/apt",130,30,78,0.63,1,260
"Entire home/apt",105,2,261,2.15,2,255
"Entire home/apt",174,2,662,5.35,2,230
"Other",84,2,318,2.62,1,175
"Entire home/apt",95,30,264,2.19,3,69
"Entire home/apt",85,2,104,0.86,2,297
"Entire home/apt",95,2,92,0.76,1,344
"Entire home/apt",60,30,498,4.16,1,156
"Entire home/apt",100,31,0,0,1,297
"Entire home/apt",146,2,93,1.57,3,10
"Other",79,1,124,1.06,1,359
"Entire home/apt",141,2,139,1.15,1,273
"Entire home/apt",85,2,17,0.14,1,0
"Entire home/apt",195,3,27,0.23,2,308
"Other",70,30,39,0.33,1,335
"Entire home/apt",89,2,126,1.59,1,48
"Other",199,2,5,0.06,7,308
"Entire home/apt",79,30,225,1.89,3,27
"Other",90,2,279,2.36,1,269
"Entire home/apt",275,3,161,1.37,3,280
"Entire home/apt",200,7,55,0.5,2,148
"Entire home/apt",130,2,123,1.04,2,332
"Other",96,2,483,4.23,9,325
